method,parent_id,parent_smiles,product_smiles,transform,nearest_original_id,nearest_original_smiles,max_tanimoto_to_any_original,similarity_to_assigned_parent,similarity_bucket
fragment_growing,[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],[16*]c1c([16*])c([16*])c(O)c(O)c1[16*],CC1(C)C2C(=O)N(c3c(O)c(O)c(N4C(=O)C5C(C4=O)C5(C)C)c(N4C(=O)C5C(C4=O)C5(C)C)c3N3C(=O)C4C(C3=O)C4(C)C)C(=O)C21,core_plus_one_side_fragment,CHEMBL4129140,CC(=O)C1=C(O)C(=O)N(CCc2ccc(Cl)c(Cl)c2)C1c1ccc(Br)cc1,0.1695,0.1379,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5cc6nccc(-c7cc8nccc(N9C(=O)C%10C(C9=O)C%10(C)C)c8s7)c6s5)c4s3)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.3488,0.25,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5cc6nccc(-c7ccnc8cc(N9C(=O)C%10C(C9=O)C%10(C)C)sc78)c6s5)c4s3)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.3659,0.2692,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5cc6nccc(N7C(=O)C8C(C7=O)C8(C)C)c6s5)c4s3)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.3488,0.25,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5ccnc6cc(-c7cc8nccc(N9C(=O)C%10C(C9=O)C%10(C)C)c8s7)sc56)c4s3)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.3647,0.25,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(-c5ccnc6cc(N7C(=O)C8C(C7=O)C8(C)C)sc56)c4s3)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.3896,0.2979,low
fragment_growing,[14*]c1cc2nccc([16*])c2s1,[14*]c1cc2nccc([16*])c2s1,CC1(C)C2C(=O)N(c3cc4nccc(N5C(=O)C6C(C5=O)C6(C)C)c4s3)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.3333,0.2917,low
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],CC1(C)C2C(=O)N(c3ccccc3-c3ccccc3-c3ccccc3N3C(=O)C4C(C3=O)C4(C)C)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1975,0.1562,low
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],CC1(C)C2C(=O)N(c3ccccc3-c3ccccc3N3C(=O)C4C(C3=O)C4(C)C)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.2,0.1613,low
fragment_growing,[16*]c1ccccc1[16*],[16*]c1ccccc1[16*],CC1(C)C2C(=O)N(c3ccccc3N3C(=O)C4C(C3=O)C4(C)C)C(=O)C21,core_plus_one_side_fragment,CHEMBL4635160,Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C,0.1923,0.1786,low
