variant,feature_set,model,eval,mae,rmse,r2
raw,morgan512,tanimoto_krr_0.001_train,train_fit,0.17784513300477642,0.3682285002970761,0.893356857230108
raw,morgan512,tanimoto_krr_0.01,loocv,0.7895947050636679,1.068212235703453,0.10254385956382028
raw,morgan512,tanimoto_krr_0.01_train,train_fit,0.18706988297555754,0.3686266522297935,0.8931261139352111
raw,morgan512,tanimoto_krr_0.1,loocv,0.8170792043640093,1.0580629391680954,0.11951666165300467
raw,morgan512,tanimoto_krr_0.1_train,train_fit,0.2679686283532146,0.3945586872039573,0.8775605537625858
raw,morgan512,tanimoto_krr_1.0,loocv,1.1367603006471474,1.3778569276169268,-0.4931601305725555
raw,morgan512,tanimoto_krr_1.0_train,train_fit,0.7261493592681167,0.8738532120587701,0.3994141293970024
raw,morgan512,tanimoto_knn1,loocv,1.1053846153846154,1.537895665161677,-0.8601667726772604
raw,morgan512,tanimoto_knn3w,loocv,0.8599646938768236,1.08311189920078,0.07733341834581231
dedup,base,extra,loocv,0.8607572368421014,1.0557866022692484,0.15557755191211675
dedup,base,rf,loocv,1.0029171052631565,1.1590192436373559,-0.01762734947747724
dedup,base,knn1,loocv,0.751578947368421,1.3031540685259704,-0.286468051816803
dedup,base,knn3d,loocv,0.9990983028184635,1.3052480607355064,-0.29060573357352704
dedup,base,svr,loocv,0.9477824538639318,1.2479381417172826,-0.17975980127719549
dedup,base,gpr,loocv,1.0874044613156328,1.2695929302355158,-0.22105849004605949
dedup,base,extra_train,train_fit,2.7486784778088085e-14,4.397958505502181e-14,1.0
dedup,base,rf_train,train_fit,0.3612557894736788,0.4146777883458025,0.8697346159922659
dedup,base,knn1_train,train_fit,0.0,0.0,1.0
dedup,graph,extra,loocv,0.8496289473684236,1.0398479629902013,0.18088068336978647
dedup,graph,rf,loocv,0.8916427631578939,1.0590752494224127,0.15030881200831725
dedup,graph,knn1,loocv,0.9626315789473684,1.5204794950070328,-0.7513325208104076
dedup,graph,knn3d,loocv,0.8923458718548609,1.1807252027658919,-0.0561002458662625
dedup,graph,svr,loocv,0.7812233737061642,1.0120026452954176,0.2241624911032576
dedup,graph,gpr,loocv,1.1637722924999867,1.3222459536995226,-0.3244390291127224
dedup,graph,extra_train,train_fit,2.7486784778088085e-14,4.397958505502181e-14,1.0
dedup,graph,rf_train,train_fit,0.3309910526315716,0.3871583382667497,0.8864506346595188
dedup,graph,knn1_train,train_fit,0.0,0.0,1.0
dedup,base_graph,extra,loocv,0.7675407894736789,0.9587711019172979,0.3036343375300663
dedup,base_graph,rf,loocv,0.9535019736842064,1.1143537192635529,0.05929465707255621
dedup,base_graph,knn1,loocv,0.751578947368421,1.3031540685259704,-0.286468051816803
dedup,base_graph,knn3d,loocv,1.0513967418453598,1.3659908825816405,-0.41352364659516216
dedup,base_graph,svr,loocv,0.9043770140749029,1.1364326164049519,0.021648632355051878
dedup,base_graph,gpr,loocv,0.9363524435711662,1.092670547682151,0.09554710953426737
dedup,base_graph,extra_train,train_fit,2.7486784778088085e-14,4.397958505502181e-14,1.0
dedup,base_graph,rf_train,train_fit,0.3397626315789384,0.39604861756979315,0.8811759145711489
dedup,base_graph,knn1_train,train_fit,0.0,0.0,1.0
dedup,morgan512,extra,loocv,0.9562026315789486,1.1595261525811908,-0.0185176836331733
dedup,morgan512,rf,loocv,0.9903453947368434,1.1375688727595283,0.01969125505839664
dedup,morgan512,knn1,loocv,0.7789473684210527,1.2414507642270796,-0.16752577535923519
dedup,morgan512,knn3d,loocv,1.0127229710053856,1.2209345953272714,-0.12925566073763184
dedup,morgan512,svr,loocv,1.033915314667935,1.1807653794769046,-0.056172119247428265
dedup,morgan512,gpr,loocv,1.1648775873512045,1.2768409673613121,-0.2350402001415075
dedup,morgan512,extra_train,train_fit,2.7486784778088085e-14,4.397958505502181e-14,1.0
dedup,morgan512,rf_train,train_fit,0.3512199999999972,0.40559684847732114,0.8753774537025626
dedup,morgan512,knn1_train,train_fit,0.0,0.0,1.0
dedup,base_graph_morgan512,extra,loocv,0.9598730263157896,1.1447571637350424,0.007262981321007889
dedup,base_graph_morgan512,rf,loocv,0.993454605263159,1.122849181699729,0.04489673314456799
dedup,base_graph_morgan512,knn1,loocv,0.8905263157894737,1.3729031859147012,-0.4278655073106079
dedup,base_graph_morgan512,knn3d,loocv,0.9244951306709287,1.0852192642952032,0.10784057883304432
dedup,base_graph_morgan512,svr,loocv,1.0292120408877574,1.1659445163956317,-0.029824560788568766
dedup,base_graph_morgan512,gpr,loocv,1.1539120205199058,1.2614644547467906,-0.20547306793474807
dedup,base_graph_morgan512,extra_train,train_fit,2.7486784778088085e-14,4.397958505502181e-14,1.0
dedup,base_graph_morgan512,rf_train,train_fit,0.3590878947368377,0.4058495292787551,0.8752221293512593
dedup,base_graph_morgan512,knn1_train,train_fit,0.0,0.0,1.0
dedup,morgan512,tanimoto_krr_0.001,loocv,1.1438686400961828,1.4457198967347331,-0.5833458677440619
dedup,morgan512,tanimoto_krr_0.001_train,train_fit,0.001759880721892803,0.0022672930296279642,0.9999961057593789
dedup,morgan512,tanimoto_krr_0.01,loocv,1.1486918681698661,1.4499820938049879,-0.5926955072858253
dedup,morgan512,tanimoto_krr_0.01_train,train_fit,0.017209388771837853,0.022121658397293215,0.9996292827112686
dedup,morgan512,tanimoto_krr_0.1,loocv,1.1954864950081816,1.4927089052449916,-0.6879427959580557
dedup,morgan512,tanimoto_krr_0.1_train,train_fit,0.15052344155801337,0.18528587043313807,0.973992890811856
dedup,morgan512,tanimoto_krr_1.0,loocv,1.5728242299416562,1.885182949140381,-1.6922444044080942
dedup,morgan512,tanimoto_krr_1.0_train,train_fit,0.8693236480773602,1.0276799585274774,0.19993872277269098
dedup,morgan512,tanimoto_knn1,loocv,1.0178947368421052,1.5556180020882544,-0.8332149803038738
dedup,morgan512,tanimoto_knn3w,loocv,0.9023882294213127,1.175008437241653,-0.04589827590620854
