feature_set,model,mae,rmse,r2
desc_plus_similarity,rf_sqrt_leaf2_depth4,1.130115760233918,1.2411418155929386,-0.16694474448591223
morgan_1024,enet_a0.1_l10.5,1.1363975940575353,1.4206649384536119,-0.5289412631412935
desc_plus_morgan_1024,enet_a0.01_l10.5,1.1365990171904343,1.4377436761880478,-0.5659230216559994
similarity,enet_a0.1_l10.5,1.1610135287611527,1.2548966676286117,-0.1929532068205917
descriptors,enet_a0.1_l10.5,1.1632999901244088,1.3327268194921702,-0.34551874283299266
desc_plus_similarity,enet_a0.1_l10.5,1.1826814885319215,1.354016507809186,-0.38885016660610905
morgan_1024,enet_a0.01_l10.5,1.1895185481072361,1.498936640827082,-0.702056720081331
desc_plus_similarity,knn_k3_dist,1.2284409046441835,1.445218658121654,-0.5822481495622331
similarity,rf_sqrt_leaf1,1.2466657894736846,1.4338260326740073,-0.5574008210059416
similarity,rf_0.3_leaf1,1.2466657894736846,1.4338260326740073,-0.5574008210059416
similarity,enet_a0.01_l10.5,1.2488932287628192,1.3495259072392647,-0.37965318979439266
similarity,enet_a0.01_l10.2,1.2520335324179672,1.353210680977328,-0.38719754318231137
similarity,rf_sqrt_leaf2_depth4,1.265785101294904,1.3861893125353357,-0.4556352671831694
descriptors,enet_a0.01_l10.5,1.4678350905181552,1.7959709847683727,-1.4434649232360703
descriptors,enet_a0.01_l10.2,1.47365119429748,1.79385050656789,-1.4376983987273886
similarity,knn_k3_dist,1.4742482061512412,1.6593209665194986,-1.0857789418172406
desc_plus_similarity,enet_a0.01_l10.5,1.6933238672529434,2.002025644947897,-2.036314471078391
desc_plus_similarity,enet_a0.01_l10.2,1.7126936279250438,2.00587908118072,-2.0480141257340327
similarity,knn_k1,1.8778947368421057,2.0911089981407622,-2.3125376148590973
