model,feature_set,mae,rmse,r2
random_forest_n500_leaf1_featsqrt_depth4,descriptors,1.0127515946684886,1.1676631896876548,-0.03286284680818041
elastic_net_a0.5_l10.2,morgan_1024,1.0129729294059642,1.23549514919897,-0.15635069596114204
random_forest_n500_leaf1_feat0p3_depthnone,descriptors_plus_morgan_512,1.0131673684210523,1.1737741407326334,-0.04370208648920482
random_forest_n500_leaf1_featsqrt_depth4,morgan_2048,1.0132667382617395,1.1589902242514927,-0.017576391650528933
elastic_net_a0.1_l10.8,morgan_512,1.0135787914646575,1.2941361809216922,-0.26872481781645474
random_forest_n200_leaf2_feat0p5_depth4,morgan_512,1.0137705785296567,1.1851445051216443,-0.06402073525189023
random_forest_n500_leaf1_feat0p5_depth4,descriptors,1.0138190201932584,1.16720606019806,-0.03205429234052559
elastic_net_a0.05_l10.8,descriptors_plus_morgan_2048,1.0138347083134698,1.2527304060603885,-0.1888380980223916
elastic_net_a0.05_l10.8,descriptors_plus_similarity_plus_morgan_2048,1.0138474967684281,1.2527993876178276,-0.18896902828644357
random_forest_n200_leaf2_feat0p5_depth6,morgan_512,1.0139662635756046,1.1853257450009484,-0.06434619385072371
random_forest_n200_leaf2_feat0p5_depthnone,morgan_512,1.0139662635756046,1.1853257450009484,-0.06434619385072371
random_forest_n500_leaf1_featsqrt_depth6,morgan_2048,1.0144419709121288,1.1758899565868717,-0.047468180222866696
elastic_net_a0.05_l10.8,morgan_2048,1.0144425585970844,1.2558686513772728,-0.19480193304469773
elastic_net_a0.5_l10.2,morgan_2048,1.0146787740956993,1.1992015259418058,-0.08941116479408096
knn_k5_uniform,descriptors_plus_morgan_512,1.0147368421052632,1.1724479115351598,-0.041344893318594034
random_forest_n200_leaf1_featsqrt_depthnone,descriptors_plus_morgan_2048,1.0149368421052636,1.1629560518012072,-0.024552182794994826
random_forest_n200_leaf1_featsqrt_depthnone,morgan_1024,1.0152921052631576,1.1647933795200263,-0.027792073300605624
random_forest_n500_leaf1_featsqrt_depthnone,morgan_2048,1.0161610526315794,1.1784754052677784,-0.052079415252937133
knn_k5_uniform,descriptors_plus_morgan_2048,1.017157894736842,1.2374240646558776,-0.1599642170947102
random_forest_n500_leaf1_feat0p3_depth4,morgan_512,1.0171808725338962,1.1943693488286908,-0.08064929868097437
elastic_net_a0.5_l10.2,descriptors_plus_morgan_2048,1.0180173014145502,1.1993392031137537,-0.08966132401223037
elastic_net_a0.5_l10.2,descriptors_plus_similarity_plus_morgan_2048,1.0180173152356453,1.1993390896537741,-0.08966111784379116
