parent_id,parent_smiles,product_smiles,generation_depth,transform,max_tanimoto_to_any_original,nearest_original_id,nearest_original_smiles,mw,logp,tpsa,hbd,hba,rotb,rings,fsp3,formal_charge,qed,sa_score,alert_count,nearest_parent_pIC50,sim,sim_score,potency_score,qed_score,sa_norm,logp_score,tpsa_score,mw_score,composite_score
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(O)CNC(=O)c1ncc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,1,heteroatom_CH_to_N,0.8,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,438.8930000000002,1.5127000000000004,129.56,2,6,6,3,0.3333333333333333,0,0.698629512913458,2.4351845796408824,0,5.15,0.8,0.7499999999999998,1.0,0.698629512913458,0.8386241656116806,0.41486363636363666,0.18981818181818177,0.8888647058823518,0.7776968536276521
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,NC(=O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(F)cc3)CC2)cn1,2,bioisostere_acid_to_amide,0.7,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,420.4660000000001,1.0040999999999995,122.45999999999998,2,5,6,3,0.3157894736842105,0,0.7219801192007488,2.2660512463075513,0,5.15,0.7,0.7499999999999998,1.0,0.7219801192007488,0.7903003560878719,0.18368181818181817,0.31890909090909125,0.9972588235294111,0.7754335638843466
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(F)cncc2c1=O,2,heteroatom_CH_to_N,0.7206,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,414.3930000000001,1.2728,123.41,2,6,8,3,0.25,0,0.5689409454504353,2.444909197573354,0,5.1,0.7206,0.8530000000000001,0.9655172413793098,0.5689409454504353,0.8414026278781012,0.3058181818181819,0.3016363636363637,0.9670176470588241,0.7733515032422982
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1ncccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,1,heteroatom_CH_to_N,0.7879,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,430.84800000000007,1.7870999999999995,123.41,2,6,8,3,0.25,0,0.5578968653365172,2.411417988782146,0,5.1,0.7879,0.8104999999999998,0.9655172413793098,0.5578968653365172,0.8318337110806131,0.539590909090909,0.3016363636363637,0.9361882352941172,0.7692295154752923
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,O=C(O)CCc1nc2c(Cl)cccc2c(=O)n1CC(=O)NCc1cccnc1O,2,heteroatom_CH_to_N,0.7164,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,416.8210000000002,1.4841,134.41,3,6,7,3,0.21052631578947367,0,0.5305931516201163,2.574492271948575,0,5.1,0.7164,0.8320000000000002,0.9655172413793098,0.5305931516201163,0.8784263634138786,0.40186363636363653,0.10163636363636375,0.9813000000000012,0.7615018951809326
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,CNC(=O)CCc1nc2c(F)cccc2c(=O)n1CC(=O)NCc1ccccc1OC,2,rxn_acid_to_amide_methylamine,0.6957,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,426.4480000000002,1.5391999999999995,102.32000000000001,2,5,8,3,0.2727272727272727,0,0.5689609142159712,2.3098665683238817,0,5.1,0.6957,0.7284999999999999,0.9655172413793098,0.5689609142159712,0.8028190195211091,0.4269090909090908,0.685090909090909,0.9620705882352929,0.7614228755279526
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,O=C(NCC(=O)N1CCCC1)c1ccc(S(=O)(=O)N2CCC(c3ccc(F)cc3)CC2)cn1,2,rxn_acid_to_amide_pyrrolidine,0.6667,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,474.5580000000003,2.1411999999999995,99.68,1,5,6,4,0.43478260869565216,0,0.6916419332712077,2.3345223874603125,0,5.15,0.6667,0.5834999999999998,1.0,0.6916419332712077,0.8098635392743749,0.7005454545454545,0.733090909090909,0.6790705882352925,0.7613182651389806
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,CNC(=O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(F)cc3)CC2)cn1,2,rxn_acid_to_amide_methylamine,0.6774,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,434.4930000000002,1.2647999999999997,108.47,2,5,6,3,0.35,0,0.7117725748676046,2.284364692078851,0,5.15,0.6774,0.637,1.0,0.7117725748676046,0.7955327691653861,0.3021818181818182,0.5732727272727273,0.9147470588235281,0.7604445105622325
CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,COc1nccnc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,2,heteroatom_CH_to_N,0.7206,CHEMBL5410606,COc1ccccc1CNC(=O)Cn1c(CCC(=O)O)nc2c(Cl)cccc2c1=O,431.8360000000001,1.1821,136.3,2,7,8,3,0.2631578947368421,0,0.5421878639411681,2.618256450320608,0,5.1,0.7206,0.8530000000000001,0.9655172413793098,0.5421878639411681,0.8909304143773166,0.2645909090909092,0.06727272727272704,0.9303764705882346,0.7598184506372521
CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,NC(=O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Br)cc3)CC2)cn1,2,bioisostere_acid_to_amide,0.7,CHEMBL5278336,O=C(O)CNC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccc(Cl)cc3)CC2)cn1,481.3720000000001,1.6275000000000002,122.45999999999998,2,5,6,3,0.3157894736842105,0,0.6496152479009764,2.3074888531451574,0,5.15,0.7,0.7499999999999998,1.0,0.6496152479009764,0.8021396723271879,0.46704545454545476,0.31890909090909125,0.638988235294117,0.7589911394667066
