feature_set,model,mae,rmse,r2
morgan512,svr_rbf,1.0455198255544695,1.1748266179385507,-0.04557461902561255
base_plus_maccs,extra_trees,1.0233894736842095,1.180610879391686,-0.05589574256919594
morgan512,pls_2,1.001365935567094,1.180909752021393,-0.05643041201405219
base_graph_spectral,pls_2,0.9811195521486562,1.1829582977461237,-0.06009880935281231
base_plus_maccs,svr_rbf,1.0622741048390547,1.184793109422513,-0.06338986386203405
morgan1024,knn_3_dist,0.9282491396954299,1.1880779309568672,-0.06929450342438326
base_plus_spectral,extra_trees,1.021821052631578,1.1884802175898166,-0.07001875846086514
base_plus_spectral,svr_rbf,1.0170422466681246,1.1937786648865656,-0.07958067724487727
graph_spectral,rf,1.0345403508771915,1.1955514485787846,-0.08278945310361463
maccs,svr_rbf,1.0658090302238064,1.201953046974332,-0.09441612273429079
base_plus_torsion,knn_3_dist,1.0061413153392393,1.2030428692499855,-0.09640165752246599
maccs,rf,1.0624877192982447,1.2096586349459972,-0.10849346399358417
base_graph_spectral,svr_rbf,1.011833383795459,1.210288981514507,-0.10964902488420214
base_plus_torsion,rf,1.0745842105263168,1.2105632442638312,-0.11015199546332011
maccs,extra_trees,1.0322877192982445,1.2107012867470621,-0.11040519475135402
base_plus_similarity,rf,1.095756140350878,1.2114855869179544,-0.1118443161563818
base_graph_similarity_morgan512,enet_loose,0.9408311139891273,1.2183642901904759,-0.12450605917923152
morgan512,knn_3_dist,1.0127229710053856,1.2209345953272714,-0.12925566073763184
base_plus_maccs,knn_3_dist,1.0289594528181671,1.2224212436621662,-0.13200736936746016
rdk_fp,enet_mid,0.9484927637943429,1.225082324664831,-0.13694125303213212
base_plus_rdk_fp,enet_mid,0.9487886223482874,1.2253131936046973,-0.13736981060629705
rdk_fp,knn_1,0.7484210526315789,1.2317809101160464,-0.14940852863681653
base_plus_rdk_fp,knn_1,0.7484210526315789,1.2317809101160464,-0.14940852863681653
torsion,extra_trees,1.0510894736842094,1.2336882116512455,-0.15297079510525613
base_descriptors,pls_2,1.1253576429984218,1.2389691121550912,-0.1628626877713819
morgan512,knn_1,0.7789473684210527,1.2414507642270796,-0.16752577535923519
graph_plus_morgan512,knn_1,0.7789473684210527,1.2414507642270796,-0.16752577535923519
base_plus_graph,svr_rbf,1.0102588672629043,1.2438444633638321,-0.17203243776131116
morgan1024,extra_trees,1.0308719298245614,1.2442675755602748,-0.17282994191515022
base_plus_morgan512,enet_loose,0.9759609176413235,1.244952072572019,-0.17412069227182636
base_graph_similarity_morgan512,knn_1,0.7589473684210526,1.2473635354112627,-0.1786736234745261
base_plus_graph,pls_2,1.0805102991618696,1.2489786697362815,-0.18172798361207665
graph_spectral,knn_3_dist,1.0765556948881452,1.2500374568929857,-0.18373238733255248
base_plus_morgan512,enet_mid,0.9892287885663394,1.2535094534097693,-0.1903171858531716
base_graph_similarity_morgan512,enet_mid,0.9952087514325867,1.2535434499911315,-0.19038175220119102
base_plus_torsion,extra_trees,1.0707859649122824,1.2539708754557368,-0.1911936685605944
graph_plus_morgan512,enet_loose,0.9842348718097493,1.2581131605206741,-0.1990764888093235
maccs,knn_3_dist,1.0441593410618226,1.259514315145906,-0.2017487875754993
base_graph_spectral,knn_3_dist,1.0216993747885408,1.2644041717960657,-0.2110980839936374
graph_spectral,extra_trees,1.0903149122806992,1.2655412853044108,-0.21327741126751976
similarity,enet_mid,1.166814055080981,1.265844251548198,-0.21385838970446147
base_plus_spectral,pls_2,1.0398120987914254,1.2674456768720108,-0.21693164801888698
graph_descriptors,enet_mid,1.0543824777474549,1.272794588504331,-0.22722478365706933
base_descriptors,svr_rbf,1.0802417525538672,1.2743804329371757,-0.23028482184298493
graph_descriptors,pls_2,1.1064896093066274,1.2760372963628348,-0.23348596802482935
graph_plus_morgan512,enet_mid,1.0234060234622455,1.2810387491510216,-0.243174261687646
base_plus_atom_pair,knn_3_dist,1.143730554278573,1.2848224986975272,-0.2505289289019945
atom_pair,knn_3_dist,1.1449879656038457,1.2864427773154585,-0.2536849802658221
morgan512,enet_loose,1.0192072726828754,1.2867591875139788,-0.25430176245548197
graph_spectral,enet_mid,1.087833669647373,1.2894936435758073,-0.2596383901824284
graph_spectral,pls_2,1.0225135547900388,1.290784117805663,-0.2621608442838068
base_plus_similarity,svr_rbf,1.1171013865239794,1.298992585491305,-0.27826477485489187
torsion,knn_3_dist,1.0585329056979267,1.2992843524577202,-0.27883906192103214
torsion,pls_2,1.0967989960759177,1.30087167710157,-0.28196566423938774
base_descriptors,knn_1,0.751578947368421,1.3031540685259704,-0.286468051816803
base_plus_graph,knn_1,0.7557894736842106,1.3034448285419034,-0.28704218991716135
base_descriptors,knn_3_dist,0.9990983028184635,1.3052480607355064,-0.29060573357352704
base_plus_similarity,pls_2,1.1830613116822024,1.306987980941801,-0.2940488303191158
torsion,enet_loose,1.0739812191543745,1.3079000192870296,-0.2958554788278507
base_plus_torsion,pls_2,1.1010207752828916,1.3082767270862015,-0.2966020636726152
base_plus_rdk_fp,knn_3_dist,0.8979652039186027,1.31140157671967,-0.3028033896971678
base_plus_torsion,enet_loose,1.0728458241156957,1.315821403046109,-0.3115998837912535
atom_pair,knn_1,0.8168421052631579,1.316270648860876,-0.3124956456997141
morgan1024,knn_1,0.8531578947368421,1.3280951931639777,-0.33618282940963695
rdk_fp,knn_3_dist,0.9266920995999213,1.3281896772439814,-0.33637295508256426
base_descriptors,enet_mid,1.1632999901244088,1.3327268194921702,-0.34551874283299266
morgan1024,enet_loose,1.0760589527021842,1.3346139908240486,-0.34933201072918285
morgan512,enet_mid,1.059112378015192,1.3362304555041689,-0.3526025720133976
graph_descriptors,knn_3_dist,1.077114316184594,1.348477579534242,-0.3775105604579523
base_plus_similarity,enet_mid,1.203219960704088,1.3620416942545153,-0.40536224264818577
base_plus_graph,knn_3_dist,1.100077844128116,1.3723925209444765,-0.4268034873591098
base_plus_morgan512,knn_1,0.8905263157894737,1.3729031859147012,-0.4278655073106079
similarity,pls_2,1.2612608625878163,1.3772420231349882,-0.43690484184407685
base_plus_maccs,knn_1,0.8968421052631579,1.3919429812883481,-0.467744182864664
graph_spectral,svr_rbf,1.1919073227018295,1.4022925263173722,-0.4896516284893506
similarity,enet_loose,1.2896609926395342,1.4126320462341917,-0.5116999032931011
morgan1024,enet_mid,1.1363975940575353,1.4206649384536119,-0.5289412631412935
maccs,knn_1,0.9478947368421051,1.4251075675005618,-0.5385186649442526
base_plus_spectral,enet_mid,1.1967772751238335,1.4295986785259487,-0.5482309784714436
