variant,feature_set,model,evaluation,mae,rmse,r2
dedup_rows,rdk512,svr_rbf,loocv,1.0201181027303168,1.1577605326841307,-0.015418234898481487
dedup_rows,graph_morgan3_512,ridge,loocv,0.9754547651921514,1.1581272385567976,-0.016061578300762935
raw_rows,graph,gpr_matern,loocv,0.9618959311314496,1.1371114525563664,-0.016960779580484697
dedup_rows,base_graph_morgan2_512_sim,svr_rbf,loocv,1.0386352642459578,1.1588163099781725,-0.017271026208870666
dedup_rows,graph_morgan2_512,extra,loocv,0.9756052631578945,1.1592455898063097,-0.018024855462877243
raw_rows,base_graph_spectral,gpr_matern,loocv,0.9808639224354992,1.1382893814159438,-0.019068801449789508
dedup_rows,base_morgan2_512,rf,loocv,1.033259649122807,1.1602997001430475,-0.019877091824509918
dedup_rows,base_morgan2_512,svr_rbf,loocv,1.0359552556629674,1.1603480695840367,-0.019962124877663356
dedup_rows,base_morgan2_512,ridge,loocv,0.9416509212869428,1.1605149675174211,-0.020255557197958574
dedup_rows,morgan2_256,ridge,loocv,0.9734773702561513,1.1607473402635138,-0.02066417462675707
dedup_rows,base_morgan2_512,extra,loocv,0.9688087719298246,1.1640363532284665,-0.026456535523769364
dedup_rows,rdk512,gpr_matern,loocv,1.0522047535475882,1.1653093987587744,-0.028702926626218206
raw_rows,graph_morgan2_512,knn3_dist_euclid,loocv,0.8550495552752916,1.144158684726347,-0.02960503999716324
dedup_rows,base_graph_morgan2_256,enet,loocv,0.9266805158980268,1.1661008877146644,-0.030100810337891692
raw_rows,base_graph,gpr_rbf,loocv,0.9633996061413701,1.144791110224299,-0.030743568153497547
dedup_rows,base_graph_morgan2_256_sim,enet,loocv,0.9271523457024392,1.1666574066746016,-0.03108427143235537
dedup_rows,base_graph_morgan2_512_sim,rf,loocv,1.0336087719298241,1.167311273524866,-0.032240361901459735
dedup_rows,graph_morgan2_512,ridge,loocv,0.9424582347140499,1.1676188683261182,-0.032784438891835244
dedup_rows,graph_morgan2_512,svr_rbf,loocv,1.044415837535745,1.1688975351707835,-0.035047695074600815
raw_rows,morgan2_256,tanimoto_knn3w,loocv,0.8920864710209838,1.1488966968965082,-0.03814997675342102
raw_rows,base_morgan2_256,knn3_dist_euclid,loocv,0.8605599901145896,1.149140616910069,-0.03859083873518787
raw_rows,base_graph_morgan2_256,gpr_matern,loocv,0.9924638382213691,1.1492403062803942,-0.03877104463196601
dedup_rows,atom_pair512,rf,loocv,1.0560736842105274,1.1711048060629012,-0.038960420793051176
raw_rows,base_graph_morgan2_256,knn3_dist_euclid,loocv,0.8703194970411671,1.1496924452021076,-0.03958856070235517
dedup_rows,base_graph_morgan2_256,svr_rbf,loocv,1.0552372562823407,1.1714593153700725,-0.039589530817958574
raw_rows,graph,knn3_dist_euclid,loocv,0.7795652200406799,1.1499143874915463,-0.0399899740311076
raw_rows,base,gpr_matern,loocv,0.9898630073129033,1.1503247525442373,-0.04073238006745261
raw_rows,base_graph_morgan2_512,knn3_dist_euclid,loocv,0.8629182495268579,1.1506451814746201,-0.041312263633412005
raw_rows,base_graph_morgan2_256_sim,gpr_matern,loocv,0.9944166255290819,1.151418104279542,-0.042711694719254734
dedup_rows,atom_pair512,svr_rbf,loocv,1.0801440192346754,1.1737687239047652,-0.04369245338977468
dedup_rows,base_graph_morgan2_256_sim,svr_rbf,loocv,1.0581597790524027,1.1739811808569345,-0.0440703128113662
raw_rows,maccs,ridge,loocv,0.8769369758687086,1.1529054559518743,-0.04540729357433104
dedup_rows,morgan2_512,svr_rbf,loocv,1.0455198255544695,1.1748266179385507,-0.04557461902561255
raw_rows,base_graph_morgan2_512,gpr_matern,loocv,0.9980274586779292,1.1531614572440465,-0.045871608023699384
dedup_rows,morgan2_512,tanimoto_knn3w,loocv,0.9023882294213127,1.175008437241653,-0.04589827590620854
raw_rows,maccs,gpr_matern,loocv,1.0038550387438372,1.1534221809992526,-0.04634459365386756
raw_rows,base_morgan2_512,knn3_dist_euclid,loocv,0.8655138519542998,1.1540025676721408,-0.04739787190035094
raw_rows,base_graph_morgan2_512_sim,gpr_matern,loocv,0.9990401434897836,1.1542456713303002,-0.04783921073492081
dedup_rows,base_morgan2_256,svr_rbf,loocv,1.0560573512133893,1.176897384162835,-0.04926375702585939
dedup_rows,morgan3_512,enet,loocv,0.9763448218999391,1.1774707100570905,-0.05028630430554881
raw_rows,base_morgan2_256,gpr_matern,loocv,0.9990731637322668,1.156506325379112,-0.05194773239201922
raw_rows,base_graph_morgan2_512_sim,knn3_dist_euclid,loocv,0.8682527487025519,1.1573767880833128,-0.0535318583906057
raw_rows,graph_morgan2_256,gpr_matern,loocv,0.9995511296089682,1.157380041979867,-0.05353778228425532
dedup_rows,base,rf,loocv,1.04422807017544,1.179870621066624,-0.05457203705429192
raw_rows,base_morgan2_512,gpr_matern,loocv,1.002491824130615,1.158121337751271,-0.05488778519159854
raw_rows,morgan2_256,enet,loocv,0.8795533193132588,1.159143294606928,-0.05675032829253035
raw_rows,graph_morgan2_512,gpr_matern,loocv,1.0034400998365844,1.1595030945518774,-0.057406464116227074
raw_rows,spectral,svr_rbf,loocv,1.0051947188945691,1.1599097539230803,-0.058148298536645715
raw_rows,graph_morgan3_512,knn3_dist_euclid,loocv,0.859967996908369,1.1603869111712595,-0.05901906797489431
dedup_rows,base_graph_morgan2_256,rf,loocv,1.0407666666666682,1.1829833085236734,-0.060143636251339005
dedup_rows,graph_morgan3_512,extra,loocv,0.9990543859649125,1.1837471312821473,-0.06151309472513877
raw_rows,base_graph_morgan3_512_sim,knn3_dist_euclid,loocv,0.8752319800648954,1.162079786984709,-0.06211130469033366
dedup_rows,base_morgan3_512,rf,loocv,1.0479263157894736,1.1842480132312254,-0.06241160627724285
raw_rows,base_graph_morgan3_512,knn3_dist_euclid,loocv,0.8754092365144923,1.1622525659601513,-0.062427159328425796
raw_rows,base_graph_morgan2_256,gpr_rbf,loocv,0.9987275465952838,1.1623418782713653,-0.06259044822734894
dedup_rows,base_graph_morgan3_512,svr_rbf,loocv,1.0655933053282984,1.1843480131677138,-0.06259103757466589
dedup_rows,atom_pair512,ridge,loocv,1.0348748666711551,1.1849602418754266,-0.06368989851016726
