name,smiles,score
cmpd_82,COc1cc(Cl)cc(C)c1-c1cc(Cl)cc(C)c1OC,-5.8
cmpd_83,Oc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,-5.6
cmpd_84,N#Cc1ccc(-c2ccc(Cl)cc2)cc1,-5.6
cmpd_85,C[C@H]1CNCC[C@H]1c1ccc(C#N)cc1,-5.8
cmpd_86,N#Cc1ccc(N2CCCC2)cc1,-4.7
cmpd_87,O=C(O)CCc1ccccc1CCC(=O)O,-5.4
cmpd_88,N#Cc1ccc(-c2cn(-c3ccc(C#N)cc3)nn2)cc1,-5.9
cmpd_89,Oc1ccc(-c2ccc(F)cc2)cc1,-5.5
cmpd_90,Fc1ccc(-c2ccc(Cl)cc2)cc1,-5.4
cmpd_91,CC(=O)C1=C(O)C(=O)N(c2ccc(F)cc2)C1N1CCCC1,-6.0
cmpd_92,Fc1ccc(-c2ccc(F)cc2)cc1,-5.4
cmpd_93,Clc1ccc(N2CCCC2)cc1,-4.5
cmpd_94,COc1ccccc1-c1ccccc1-c1ccccc1OC,-5.7
cmpd_95,Oc1ccc(-c2ccccc2)cc1,-5.4
cmpd_96,Oc1ccc(-c2ccc(Cl)cc2)cc1,-5.3
cmpd_97,COc1ccccc1-c1ccccc1-c1ccc(O)cc1,-6.1
cmpd_98,O=C(O)CN1CCN(c2ccc(Cl)c(Cl)c2)CC1,-5.3
cmpd_99,OC1CCN(c2ccc(Cl)c(Cl)c2)CC1,-5.3
cmpd_100,Clc1ccc(-c2ccccc2)cc1,-5.1
